"Time","stress level"
2025-12-12 15:57:15,0.00335
2025-12-12 15:57:30,0.00141
2025-12-12 15:57:45,0.0437
2025-12-12 15:58:00,0.0673
2025-12-12 15:58:15,0.134
2025-12-12 15:58:30,0.134
2025-12-12 15:58:45,0.162
2025-12-12 15:59:00,0.180
2025-12-12 15:59:15,0.174
2025-12-12 15:59:30,0.177
2025-12-12 15:59:45,0.169
2025-12-12 16:00:00,0.160
2025-12-12 16:00:15,0.176
2025-12-12 16:00:30,0.169
2025-12-12 16:00:45,0.163
2025-12-12 16:01:00,0.163
2025-12-12 16:01:15,0.168
2025-12-12 16:01:30,0.162
2025-12-12 16:01:45,0.162
2025-12-12 16:02:00,0.166
2025-12-12 16:02:15,0.176
2025-12-12 16:02:30,0.194
2025-12-12 16:02:45,0.176
2025-12-12 16:03:00,0.165
2025-12-12 16:03:15,0.181
2025-12-12 16:03:30,0.178
2025-12-12 16:03:45,0.173
2025-12-12 16:04:00,0.178
2025-12-12 16:04:15,0.182
2025-12-12 16:04:30,0.178
2025-12-12 16:04:45,0.163
2025-12-12 16:05:00,0.183
2025-12-12 16:05:15,0.159
2025-12-12 16:05:30,0.160
2025-12-12 16:05:45,0.181
2025-12-12 16:06:00,0.172
2025-12-12 16:06:15,0.115
2025-12-12 16:06:30,0.0909
2025-12-12 16:06:45,0.00980
2025-12-12 16:07:00,0.00845
2025-12-12 16:07:15,0.00791
