"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:57:15,0 kb/s
2025-12-12 15:57:30,0 kb/s
2025-12-12 15:57:45,1.57 Mb/s
2025-12-12 15:58:00,811 kb/s
2025-12-12 15:58:15,2.89 Mb/s
2025-12-12 15:58:30,2.39 Mb/s
2025-12-12 15:58:45,2.69 Mb/s
2025-12-12 15:59:00,3.75 Mb/s
2025-12-12 15:59:15,2.98 Mb/s
2025-12-12 15:59:30,2.37 Mb/s
2025-12-12 15:59:45,4.15 Mb/s
2025-12-12 16:00:00,2.22 Mb/s
2025-12-12 16:00:15,2.89 Mb/s
2025-12-12 16:00:30,2.59 Mb/s
2025-12-12 16:00:45,4.63 Mb/s
2025-12-12 16:01:00,4.45 Mb/s
2025-12-12 16:01:15,3.78 Mb/s
2025-12-12 16:01:30,4.58 Mb/s
2025-12-12 16:01:45,4.37 Mb/s
2025-12-12 16:02:00,2.62 Mb/s
2025-12-12 16:02:15,3.78 Mb/s
2025-12-12 16:02:30,2.72 Mb/s
2025-12-12 16:02:45,3.69 Mb/s
2025-12-12 16:03:00,4.42 Mb/s
2025-12-12 16:03:15,3.93 Mb/s
2025-12-12 16:03:30,3.09 Mb/s
2025-12-12 16:03:45,3.23 Mb/s
2025-12-12 16:04:00,3.80 Mb/s
2025-12-12 16:04:15,5.82 Mb/s
2025-12-12 16:04:30,3.90 Mb/s
2025-12-12 16:04:45,3.77 Mb/s
2025-12-12 16:05:00,4.62 Mb/s
2025-12-12 16:05:15,1.45 Mb/s
2025-12-12 16:05:30,852 kb/s
2025-12-12 16:05:45,3.09 Mb/s
2025-12-12 16:06:00,3.54 Mb/s
2025-12-12 16:06:15,2.45 Mb/s
2025-12-12 16:06:30,2.09 Mb/s
2025-12-12 16:06:45,0 kb/s
2025-12-12 16:07:00,0 kb/s
2025-12-12 16:07:15,0 kb/s
