"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 15:57:15,1.08 GiB
2025-12-12 15:57:30,1.08 GiB
2025-12-12 15:57:45,1.09 GiB
2025-12-12 15:58:00,1.10 GiB
2025-12-12 15:58:15,1.10 GiB
2025-12-12 15:58:30,1.10 GiB
2025-12-12 15:58:45,1014 MiB
2025-12-12 15:59:00,1014 MiB
2025-12-12 15:59:15,999 MiB
2025-12-12 15:59:30,999 MiB
2025-12-12 15:59:45,993 MiB
2025-12-12 16:00:00,993 MiB
2025-12-12 16:00:15,993 MiB
2025-12-12 16:00:30,993 MiB
2025-12-12 16:00:45,993 MiB
2025-12-12 16:01:00,1000 MiB
2025-12-12 16:01:15,999 MiB
2025-12-12 16:01:30,993 MiB
2025-12-12 16:01:45,993 MiB
2025-12-12 16:02:00,994 MiB
2025-12-12 16:02:15,994 MiB
2025-12-12 16:02:30,994 MiB
2025-12-12 16:02:45,994 MiB
2025-12-12 16:03:00,994 MiB
2025-12-12 16:03:15,994 MiB
2025-12-12 16:03:30,994 MiB
2025-12-12 16:03:45,979 MiB
2025-12-12 16:04:00,979 MiB
2025-12-12 16:04:15,979 MiB
2025-12-12 16:04:30,993 MiB
2025-12-12 16:04:45,994 MiB
2025-12-12 16:05:00,994 MiB
2025-12-12 16:05:15,994 MiB
2025-12-12 16:05:30,967 MiB
2025-12-12 16:05:45,967 MiB
2025-12-12 16:06:00,967 MiB
2025-12-12 16:06:15,966 MiB
2025-12-12 16:06:30,966 MiB
2025-12-12 16:06:45,964 MiB
2025-12-12 16:07:00,964 MiB
2025-12-12 16:07:15,964 MiB
