"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:57:15,0 kb/s
2025-12-12 15:57:30,0 kb/s
2025-12-12 15:57:45,1.25 Mb/s
2025-12-12 15:58:00,632 kb/s
2025-12-12 15:58:15,2.10 Mb/s
2025-12-12 15:58:30,2.73 Mb/s
2025-12-12 15:58:45,3.29 Mb/s
2025-12-12 15:59:00,3.64 Mb/s
2025-12-12 15:59:15,3.71 Mb/s
2025-12-12 15:59:30,3.68 Mb/s
2025-12-12 15:59:45,3.52 Mb/s
2025-12-12 16:00:00,2.47 Mb/s
2025-12-12 16:00:15,3.38 Mb/s
2025-12-12 16:00:30,2.49 Mb/s
2025-12-12 16:00:45,3.51 Mb/s
2025-12-12 16:01:00,3.59 Mb/s
2025-12-12 16:01:15,3.24 Mb/s
2025-12-12 16:01:30,3.51 Mb/s
2025-12-12 16:01:45,3.67 Mb/s
2025-12-12 16:02:00,2.45 Mb/s
2025-12-12 16:02:15,3.62 Mb/s
2025-12-12 16:02:30,3.67 Mb/s
2025-12-12 16:02:45,3.36 Mb/s
2025-12-12 16:03:00,3.48 Mb/s
2025-12-12 16:03:15,3.67 Mb/s
2025-12-12 16:03:30,3.69 Mb/s
2025-12-12 16:03:45,3.84 Mb/s
2025-12-12 16:04:00,3.67 Mb/s
2025-12-12 16:04:15,3.58 Mb/s
2025-12-12 16:04:30,3.74 Mb/s
2025-12-12 16:04:45,3.43 Mb/s
2025-12-12 16:05:00,3.49 Mb/s
2025-12-12 16:05:15,3.45 Mb/s
2025-12-12 16:05:30,3.74 Mb/s
2025-12-12 16:05:45,3.64 Mb/s
2025-12-12 16:06:00,3.18 Mb/s
2025-12-12 16:06:15,1.94 Mb/s
2025-12-12 16:06:30,2.10 Mb/s
2025-12-12 16:06:45,0 kb/s
2025-12-12 16:07:00,0 kb/s
2025-12-12 16:07:15,0 kb/s
