"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 15:57:15,1019 MiB
2025-12-12 15:57:30,1020 MiB
2025-12-12 15:57:45,1021 MiB
2025-12-12 15:58:00,1.00 GiB
2025-12-12 15:58:15,1.01 GiB
2025-12-12 15:58:30,1.01 GiB
2025-12-12 15:58:45,1.01 GiB
2025-12-12 15:59:00,1.01 GiB
2025-12-12 15:59:15,1.01 GiB
2025-12-12 15:59:30,1.01 GiB
2025-12-12 15:59:45,1.01 GiB
2025-12-12 16:00:00,1.01 GiB
2025-12-12 16:00:15,1.01 GiB
2025-12-12 16:00:30,1.01 GiB
2025-12-12 16:00:45,1.01 GiB
2025-12-12 16:01:00,1.01 GiB
2025-12-12 16:01:15,1.01 GiB
2025-12-12 16:01:30,1.01 GiB
2025-12-12 16:01:45,1.01 GiB
2025-12-12 16:02:00,1.01 GiB
2025-12-12 16:02:15,1.01 GiB
2025-12-12 16:02:30,1.01 GiB
2025-12-12 16:02:45,1.01 GiB
2025-12-12 16:03:00,1.01 GiB
2025-12-12 16:03:15,1.01 GiB
2025-12-12 16:03:30,1.01 GiB
2025-12-12 16:03:45,1.01 GiB
2025-12-12 16:04:00,1.01 GiB
2025-12-12 16:04:15,1.01 GiB
2025-12-12 16:04:30,1.01 GiB
2025-12-12 16:04:45,1.01 GiB
2025-12-12 16:05:00,1.01 GiB
2025-12-12 16:05:15,1.01 GiB
2025-12-12 16:05:30,1.01 GiB
2025-12-12 16:05:45,1.01 GiB
2025-12-12 16:06:00,1.01 GiB
2025-12-12 16:06:15,1.01 GiB
2025-12-12 16:06:30,1.01 GiB
2025-12-12 16:06:45,1.01 GiB
2025-12-12 16:07:00,1.01 GiB
2025-12-12 16:07:15,1.01 GiB
