"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:57:15,0 kb/s
2025-12-12 15:57:30,0 kb/s
2025-12-12 15:57:45,1.07 Mb/s
2025-12-12 15:58:00,1.63 Mb/s
2025-12-12 15:58:15,4.46 Mb/s
2025-12-12 15:58:30,4.61 Mb/s
2025-12-12 15:58:45,6.30 Mb/s
2025-12-12 15:59:00,6.30 Mb/s
2025-12-12 15:59:15,5.99 Mb/s
2025-12-12 15:59:30,6.27 Mb/s
2025-12-12 15:59:45,6.06 Mb/s
2025-12-12 16:00:00,4.77 Mb/s
2025-12-12 16:00:15,6.06 Mb/s
2025-12-12 16:00:30,3.86 Mb/s
2025-12-12 16:00:45,6.35 Mb/s
2025-12-12 16:01:00,6.03 Mb/s
2025-12-12 16:01:15,5.78 Mb/s
2025-12-12 16:01:30,6.18 Mb/s
2025-12-12 16:01:45,6.27 Mb/s
2025-12-12 16:02:00,4.44 Mb/s
2025-12-12 16:02:15,6.30 Mb/s
2025-12-12 16:02:30,6.60 Mb/s
2025-12-12 16:02:45,5.85 Mb/s
2025-12-12 16:03:00,6.06 Mb/s
2025-12-12 16:03:15,6.26 Mb/s
2025-12-12 16:03:30,6.06 Mb/s
2025-12-12 16:03:45,6.48 Mb/s
2025-12-12 16:04:00,6.08 Mb/s
2025-12-12 16:04:15,6.44 Mb/s
2025-12-12 16:04:30,6.17 Mb/s
2025-12-12 16:04:45,6.15 Mb/s
2025-12-12 16:05:00,6.17 Mb/s
2025-12-12 16:05:15,5.95 Mb/s
2025-12-12 16:05:30,6.36 Mb/s
2025-12-12 16:05:45,6.28 Mb/s
2025-12-12 16:06:00,6.22 Mb/s
2025-12-12 16:06:15,3.85 Mb/s
2025-12-12 16:06:30,3.43 Mb/s
2025-12-12 16:06:45,0 kb/s
2025-12-12 16:07:00,0 kb/s
2025-12-12 16:07:15,0 kb/s
