"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 14:54:00,0.0229
2025-12-12 14:54:15,0.0237
2025-12-12 14:54:30,0.0111
2025-12-12 14:54:45,0.151
2025-12-12 14:55:00,0.210
2025-12-12 14:55:15,0.255
2025-12-12 14:55:30,0.165
2025-12-12 14:55:45,0.137
2025-12-12 14:56:00,0.102
2025-12-12 14:56:15,0.0773
2025-12-12 14:56:30,0.0645
2025-12-12 14:56:45,0.0645
2025-12-12 14:57:00,0.0624
2025-12-12 14:57:15,0.0570
2025-12-12 14:57:30,0.0518
2025-12-12 14:57:45,0.0508
2025-12-12 14:58:00,0.0528
2025-12-12 14:58:15,0.0452
2025-12-12 14:58:30,0.0507
2025-12-12 14:58:45,0.0519
2025-12-12 14:59:00,0.0535
2025-12-12 14:59:15,0.0535
2025-12-12 14:59:30,0.0529
2025-12-12 14:59:45,0.0492
2025-12-12 15:00:00,0.0491
2025-12-12 15:00:15,0.0451
2025-12-12 15:00:30,0.0536
2025-12-12 15:00:45,0.0555
2025-12-12 15:01:00,0.0525
2025-12-12 15:01:15,0.0445
2025-12-12 15:01:30,0.0385
2025-12-12 15:01:45,0.0471
2025-12-12 15:02:00,0.0468
2025-12-12 15:02:15,0.0466
2025-12-12 15:02:30,0.0450
2025-12-12 15:02:45,0.0433
2025-12-12 15:03:00,0.0391
2025-12-12 15:03:15,0.0270
2025-12-12 15:03:30,0.0225
2025-12-12 15:03:45,0.00737
