"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 14:54:00,194 MiB
2025-12-12 14:54:15,194 MiB
2025-12-12 14:54:30,194 MiB
2025-12-12 14:54:45,331 MiB
2025-12-12 14:55:00,333 MiB
2025-12-12 14:55:15,335 MiB
2025-12-12 14:55:30,336 MiB
2025-12-12 14:55:45,339 MiB
2025-12-12 14:56:00,339 MiB
2025-12-12 14:56:15,340 MiB
2025-12-12 14:56:30,340 MiB
2025-12-12 14:56:45,341 MiB
2025-12-12 14:57:00,341 MiB
2025-12-12 14:57:15,341 MiB
2025-12-12 14:57:30,341 MiB
2025-12-12 14:57:45,337 MiB
2025-12-12 14:58:00,337 MiB
2025-12-12 14:58:15,338 MiB
2025-12-12 14:58:30,338 MiB
2025-12-12 14:58:45,338 MiB
2025-12-12 14:59:00,339 MiB
2025-12-12 14:59:15,339 MiB
2025-12-12 14:59:30,340 MiB
2025-12-12 14:59:45,340 MiB
2025-12-12 15:00:00,340 MiB
2025-12-12 15:00:15,340 MiB
2025-12-12 15:00:30,341 MiB
2025-12-12 15:00:45,343 MiB
2025-12-12 15:01:00,346 MiB
2025-12-12 15:01:15,346 MiB
2025-12-12 15:01:30,347 MiB
2025-12-12 15:01:45,347 MiB
2025-12-12 15:02:00,352 MiB
2025-12-12 15:02:15,352 MiB
2025-12-12 15:02:30,354 MiB
2025-12-12 15:02:45,356 MiB
2025-12-12 15:03:00,356 MiB
2025-12-12 15:03:15,356 MiB
2025-12-12 15:03:30,356 MiB
2025-12-12 15:03:45,356 MiB
