"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 14:54:00,0 ms
2025-12-12 14:54:15,0 ms
2025-12-12 14:54:30,0 ms
2025-12-12 14:54:45,61.1 ms
2025-12-12 14:55:00,60.5 ms
2025-12-12 14:55:15,61.7 ms
2025-12-12 14:55:30,58.6 ms
2025-12-12 14:55:45,60.3 ms
2025-12-12 14:56:00,60.1 ms
2025-12-12 14:56:15,59.1 ms
2025-12-12 14:56:30,59.9 ms
2025-12-12 14:56:45,58.4 ms
2025-12-12 14:57:00,61.0 ms
2025-12-12 14:57:15,59.9 ms
2025-12-12 14:57:30,60.0 ms
2025-12-12 14:57:45,58.7 ms
2025-12-12 14:58:00,60.5 ms
2025-12-12 14:58:15,59.5 ms
2025-12-12 14:58:30,60.5 ms
2025-12-12 14:58:45,59.5 ms
2025-12-12 14:59:00,60.5 ms
2025-12-12 14:59:15,59.4 ms
2025-12-12 14:59:30,60.0 ms
2025-12-12 14:59:45,60.0 ms
2025-12-12 15:00:00,61.0 ms
2025-12-12 15:00:15,61.7 ms
2025-12-12 15:00:30,58.4 ms
2025-12-12 15:00:45,60.9 ms
2025-12-12 15:01:00,60.3 ms
2025-12-12 15:01:15,58.0 ms
2025-12-12 15:01:30,58.0 ms
2025-12-12 15:01:45,59.4 ms
2025-12-12 15:02:00,59.1 ms
2025-12-12 15:02:15,59.7 ms
2025-12-12 15:02:30,60.9 ms
2025-12-12 15:02:45,60.0 ms
2025-12-12 15:03:00,61.6 ms
2025-12-12 15:03:15,0 ms
2025-12-12 15:03:30,0 ms
2025-12-12 15:03:45,0 ms
