"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 14:54:00,202 MiB
2025-12-12 14:54:15,203 MiB
2025-12-12 14:54:30,203 MiB
2025-12-12 14:54:45,276 MiB
2025-12-12 14:55:00,331 MiB
2025-12-12 14:55:15,337 MiB
2025-12-12 14:55:30,342 MiB
2025-12-12 14:55:45,340 MiB
2025-12-12 14:56:00,341 MiB
2025-12-12 14:56:15,341 MiB
2025-12-12 14:56:30,341 MiB
2025-12-12 14:56:45,341 MiB
2025-12-12 14:57:00,342 MiB
2025-12-12 14:57:15,345 MiB
2025-12-12 14:57:30,348 MiB
2025-12-12 14:57:45,349 MiB
2025-12-12 14:58:00,349 MiB
2025-12-12 14:58:15,349 MiB
2025-12-12 14:58:30,349 MiB
2025-12-12 14:58:45,349 MiB
2025-12-12 14:59:00,350 MiB
2025-12-12 14:59:15,350 MiB
2025-12-12 14:59:30,350 MiB
2025-12-12 14:59:45,350 MiB
2025-12-12 15:00:00,350 MiB
2025-12-12 15:00:15,350 MiB
2025-12-12 15:00:30,351 MiB
2025-12-12 15:00:45,351 MiB
2025-12-12 15:01:00,351 MiB
2025-12-12 15:01:15,352 MiB
2025-12-12 15:01:30,352 MiB
2025-12-12 15:01:45,352 MiB
2025-12-12 15:02:00,353 MiB
2025-12-12 15:02:15,353 MiB
2025-12-12 15:02:30,353 MiB
2025-12-12 15:02:45,353 MiB
2025-12-12 15:03:00,354 MiB
2025-12-12 15:03:15,354 MiB
2025-12-12 15:03:30,354 MiB
2025-12-12 15:03:45,354 MiB
