"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 14:54:00,0 kb/s
2025-12-12 14:54:15,0 kb/s
2025-12-12 14:54:30,0 kb/s
2025-12-12 14:54:45,815 kb/s
2025-12-12 14:55:00,802 kb/s
2025-12-12 14:55:15,783 kb/s
2025-12-12 14:55:30,847 kb/s
2025-12-12 14:55:45,816 kb/s
2025-12-12 14:56:00,849 kb/s
2025-12-12 14:56:15,833 kb/s
2025-12-12 14:56:30,825 kb/s
2025-12-12 14:56:45,845 kb/s
2025-12-12 14:57:00,838 kb/s
2025-12-12 14:57:15,869 kb/s
2025-12-12 14:57:30,840 kb/s
2025-12-12 14:57:45,861 kb/s
2025-12-12 14:58:00,832 kb/s
2025-12-12 14:58:15,826 kb/s
2025-12-12 14:58:30,878 kb/s
2025-12-12 14:58:45,870 kb/s
2025-12-12 14:59:00,850 kb/s
2025-12-12 14:59:15,836 kb/s
2025-12-12 14:59:30,819 kb/s
2025-12-12 14:59:45,817 kb/s
2025-12-12 15:00:00,834 kb/s
2025-12-12 15:00:15,834 kb/s
2025-12-12 15:00:30,841 kb/s
2025-12-12 15:00:45,832 kb/s
2025-12-12 15:01:00,815 kb/s
2025-12-12 15:01:15,810 kb/s
2025-12-12 15:01:30,848 kb/s
2025-12-12 15:01:45,840 kb/s
2025-12-12 15:02:00,839 kb/s
2025-12-12 15:02:15,837 kb/s
2025-12-12 15:02:30,851 kb/s
2025-12-12 15:02:45,813 kb/s
2025-12-12 15:03:00,0 kb/s
2025-12-12 15:03:15,0 kb/s
2025-12-12 15:03:30,0 kb/s
2025-12-12 15:03:45,0 kb/s
