"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 14:54:00,0.0313
2025-12-12 14:54:15,0.0341
2025-12-12 14:54:30,0.0188
2025-12-12 14:54:45,0.226
2025-12-12 14:55:00,0.279
2025-12-12 14:55:15,0.390
2025-12-12 14:55:30,0.218
2025-12-12 14:55:45,0.201
2025-12-12 14:56:00,0.157
2025-12-12 14:56:15,0.146
2025-12-12 14:56:30,0.126
2025-12-12 14:56:45,0.126
2025-12-12 14:57:00,0.121
2025-12-12 14:57:15,0.100
2025-12-12 14:57:30,0.109
2025-12-12 14:57:45,0.105
2025-12-12 14:58:00,0.106
2025-12-12 14:58:15,0.106
2025-12-12 14:58:30,0.103
2025-12-12 14:58:45,0.0886
2025-12-12 14:59:00,0.109
2025-12-12 14:59:15,0.109
2025-12-12 14:59:30,0.105
2025-12-12 14:59:45,0.0959
2025-12-12 15:00:00,0.0924
2025-12-12 15:00:15,0.0931
2025-12-12 15:00:30,0.0960
2025-12-12 15:00:45,0.101
2025-12-12 15:01:00,0.0994
2025-12-12 15:01:15,0.0945
2025-12-12 15:01:30,0.0901
2025-12-12 15:01:45,0.0890
2025-12-12 15:02:00,0.0883
2025-12-12 15:02:15,0.0884
2025-12-12 15:02:30,0.0864
2025-12-12 15:02:45,0.0857
2025-12-12 15:03:00,0.0846
2025-12-12 15:03:15,0.0472
2025-12-12 15:03:30,0.00803
2025-12-12 15:03:45,0.00903
