"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 14:54:00,0 ms
2025-12-12 14:54:15,0 ms
2025-12-12 14:54:30,0 ms
2025-12-12 14:54:45,66.4 ms
2025-12-12 14:55:00,64.7 ms
2025-12-12 14:55:15,65.1 ms
2025-12-12 14:55:30,65.1 ms
2025-12-12 14:55:45,63.9 ms
2025-12-12 14:56:00,70.4 ms
2025-12-12 14:56:15,63.6 ms
2025-12-12 14:56:30,63.5 ms
2025-12-12 14:56:45,64.1 ms
2025-12-12 14:57:00,65.5 ms
2025-12-12 14:57:15,66.0 ms
2025-12-12 14:57:30,66.8 ms
2025-12-12 14:57:45,70.3 ms
2025-12-12 14:58:00,67.0 ms
2025-12-12 14:58:15,67.7 ms
2025-12-12 14:58:30,67.0 ms
2025-12-12 14:58:45,66.4 ms
2025-12-12 14:59:00,65.5 ms
2025-12-12 14:59:15,68.1 ms
2025-12-12 14:59:30,64.0 ms
2025-12-12 14:59:45,64.6 ms
2025-12-12 15:00:00,65.7 ms
2025-12-12 15:00:15,67.6 ms
2025-12-12 15:00:30,66.9 ms
2025-12-12 15:00:45,66.3 ms
2025-12-12 15:01:00,67.2 ms
2025-12-12 15:01:15,66.0 ms
2025-12-12 15:01:30,67.7 ms
2025-12-12 15:01:45,66.2 ms
2025-12-12 15:02:00,66.4 ms
2025-12-12 15:02:15,67.2 ms
2025-12-12 15:02:30,64.4 ms
2025-12-12 15:02:45,66.5 ms
2025-12-12 15:03:00,0 ms
2025-12-12 15:03:15,0 ms
2025-12-12 15:03:30,0 ms
2025-12-12 15:03:45,0 ms
