"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:27:45,0 kb/s
2025-12-12 13:28:00,0 kb/s
2025-12-12 13:28:15,0 kb/s
2025-12-12 13:28:30,749 kb/s
2025-12-12 13:28:45,5.72 Mb/s
2025-12-12 13:29:00,10.1 Mb/s
2025-12-12 13:29:15,11.2 Mb/s
2025-12-12 13:29:30,11.0 Mb/s
2025-12-12 13:29:45,17.4 Mb/s
2025-12-12 13:30:00,17.8 Mb/s
2025-12-12 13:30:15,14.2 Mb/s
2025-12-12 13:30:30,4.84 Mb/s
2025-12-12 13:30:45,9.17 Mb/s
2025-12-12 13:31:00,11.3 Mb/s
2025-12-12 13:31:15,9.76 Mb/s
2025-12-12 13:31:30,6.77 Mb/s
2025-12-12 13:31:45,9.23 Mb/s
2025-12-12 13:32:00,9.59 Mb/s
2025-12-12 13:32:15,16.0 Mb/s
2025-12-12 13:32:30,6.06 Mb/s
2025-12-12 13:32:45,8.07 Mb/s
2025-12-12 13:33:00,10.7 Mb/s
2025-12-12 13:33:15,9.57 Mb/s
2025-12-12 13:33:30,16.2 Mb/s
2025-12-12 13:33:45,2.06 Mb/s
2025-12-12 13:34:00,5.80 Mb/s
2025-12-12 13:34:15,5.89 Mb/s
2025-12-12 13:34:30,9.04 Mb/s
2025-12-12 13:34:45,6.95 Mb/s
2025-12-12 13:35:00,12.5 Mb/s
2025-12-12 13:35:15,12.3 Mb/s
2025-12-12 13:35:30,4.68 Mb/s
2025-12-12 13:35:45,5.67 Mb/s
2025-12-12 13:36:00,7.47 Mb/s
2025-12-12 13:36:15,8.73 Mb/s
2025-12-12 13:36:30,8.12 Mb/s
2025-12-12 13:36:45,6.19 Mb/s
2025-12-12 13:37:00,6.23 Mb/s
2025-12-12 13:37:15,5.50 Mb/s
2025-12-12 13:37:30,3.80 Mb/s
2025-12-12 13:37:45,637 kb/s
2025-12-12 13:38:00,0 kb/s
2025-12-12 13:38:15,0 kb/s
2025-12-12 13:38:30,0 kb/s
2025-12-12 13:38:45,0 kb/s
