"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:27:45,0 kb/s
2025-12-12 13:28:00,0 kb/s
2025-12-12 13:28:15,0 kb/s
2025-12-12 13:28:30,1.59 Mb/s
2025-12-12 13:28:45,922 kb/s
2025-12-12 13:29:00,2.48 Mb/s
2025-12-12 13:29:15,3.16 Mb/s
2025-12-12 13:29:30,3.67 Mb/s
2025-12-12 13:29:45,3.56 Mb/s
2025-12-12 13:30:00,3.58 Mb/s
2025-12-12 13:30:15,3.68 Mb/s
2025-12-12 13:30:30,3.64 Mb/s
2025-12-12 13:30:45,3.60 Mb/s
2025-12-12 13:31:00,3.55 Mb/s
2025-12-12 13:31:15,3.78 Mb/s
2025-12-12 13:31:30,3.43 Mb/s
2025-12-12 13:31:45,3.37 Mb/s
2025-12-12 13:32:00,3.61 Mb/s
2025-12-12 13:32:15,3.52 Mb/s
2025-12-12 13:32:30,3.78 Mb/s
2025-12-12 13:32:45,3.39 Mb/s
2025-12-12 13:33:00,3.82 Mb/s
2025-12-12 13:33:15,3.45 Mb/s
2025-12-12 13:33:30,3.87 Mb/s
2025-12-12 13:33:45,3.67 Mb/s
2025-12-12 13:34:00,3.69 Mb/s
2025-12-12 13:34:15,3.80 Mb/s
2025-12-12 13:34:30,3.75 Mb/s
2025-12-12 13:34:45,3.44 Mb/s
2025-12-12 13:35:00,3.72 Mb/s
2025-12-12 13:35:15,3.60 Mb/s
2025-12-12 13:35:30,3.87 Mb/s
2025-12-12 13:35:45,3.44 Mb/s
2025-12-12 13:36:00,3.77 Mb/s
2025-12-12 13:36:15,3.59 Mb/s
2025-12-12 13:36:30,3.64 Mb/s
2025-12-12 13:36:45,3.31 Mb/s
2025-12-12 13:37:00,2.66 Mb/s
2025-12-12 13:37:15,2.07 Mb/s
2025-12-12 13:37:30,743 kb/s
2025-12-12 13:37:45,119 kb/s
2025-12-12 13:38:00,0 kb/s
2025-12-12 13:38:15,0 kb/s
2025-12-12 13:38:30,0 kb/s
2025-12-12 13:38:45,0 kb/s
