"Time","stress level"
2025-12-12 13:27:45,0.000380
2025-12-12 13:28:00,0.000368
2025-12-12 13:28:15,0.000457
2025-12-12 13:28:30,0.000402
2025-12-12 13:28:45,0.0288
2025-12-12 13:29:00,0.0731
2025-12-12 13:29:15,0.0937
2025-12-12 13:29:30,0.122
2025-12-12 13:29:45,0.131
2025-12-12 13:30:00,0.176
2025-12-12 13:30:15,0.135
2025-12-12 13:30:30,0.0854
2025-12-12 13:30:45,0.0933
2025-12-12 13:31:00,0.100
2025-12-12 13:31:15,0.111
2025-12-12 13:31:30,0.0958
2025-12-12 13:31:45,0.0972
2025-12-12 13:32:00,0.106
2025-12-12 13:32:15,0.107
2025-12-12 13:32:30,0.120
2025-12-12 13:32:45,0.103
2025-12-12 13:33:00,0.108
2025-12-12 13:33:15,0.105
2025-12-12 13:33:30,0.114
2025-12-12 13:33:45,0.114
2025-12-12 13:34:00,0.104
2025-12-12 13:34:15,0.115
2025-12-12 13:34:30,0.146
2025-12-12 13:34:45,0.129
2025-12-12 13:35:00,0.150
2025-12-12 13:35:15,0.121
2025-12-12 13:35:30,0.102
2025-12-12 13:35:45,0.101
2025-12-12 13:36:00,0.0949
2025-12-12 13:36:15,0.100
2025-12-12 13:36:30,0.115
2025-12-12 13:36:45,0.106
2025-12-12 13:37:00,0.123
2025-12-12 13:37:15,0.106
2025-12-12 13:37:30,0.0664
2025-12-12 13:37:45,0.0431
2025-12-12 13:38:00,0.00952
2025-12-12 13:38:15,0.00595
2025-12-12 13:38:30,0.00674
2025-12-12 13:38:45,0.00463
