"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:37:45,0 ms
2025-12-12 15:38:00,0 ms
2025-12-12 15:38:15,68.4 ms
2025-12-12 15:38:30,68.8 ms
2025-12-12 15:38:45,436 ms
2025-12-12 15:39:00,66.2 ms
2025-12-12 15:39:15,66.0 ms
2025-12-12 15:39:30,78.9 ms
2025-12-12 15:39:45,65.6 ms
2025-12-12 15:40:00,68.5 ms
2025-12-12 15:40:15,66.6 ms
2025-12-12 15:40:30,68.4 ms
2025-12-12 15:40:45,68.2 ms
2025-12-12 15:41:00,67.4 ms
2025-12-12 15:41:15,64.7 ms
2025-12-12 15:41:30,67.5 ms
2025-12-12 15:41:45,66.5 ms
2025-12-12 15:42:00,68.2 ms
2025-12-12 15:42:15,101 ms
2025-12-12 15:42:30,67.4 ms
2025-12-12 15:42:45,65.8 ms
2025-12-12 15:43:00,70.1 ms
2025-12-12 15:43:15,65.6 ms
2025-12-12 15:43:30,68.2 ms
2025-12-12 15:43:45,69.4 ms
2025-12-12 15:44:00,73.2 ms
2025-12-12 15:44:15,66.1 ms
2025-12-12 15:44:30,68.5 ms
2025-12-12 15:44:45,66.5 ms
2025-12-12 15:45:00,66.3 ms
2025-12-12 15:45:15,67.7 ms
2025-12-12 15:45:30,64.2 ms
2025-12-12 15:45:45,74.4 ms
2025-12-12 15:46:00,67.5 ms
2025-12-12 15:46:15,78.3 ms
2025-12-12 15:46:30,68.1 ms
2025-12-12 15:46:45,66.4 ms
2025-12-12 15:47:00,68.0 ms
2025-12-12 15:47:15,71.5 ms
2025-12-12 15:47:30,71.5 ms
2025-12-12 15:47:45,71.5 ms
2025-12-12 15:48:00,71.5 ms
