"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:37:45,0 kb/s
2025-12-12 15:38:00,441 kb/s
2025-12-12 15:38:15,1.52 Mb/s
2025-12-12 15:38:30,966 kb/s
2025-12-12 15:38:45,1.55 Mb/s
2025-12-12 15:39:00,1.65 Mb/s
2025-12-12 15:39:15,1.69 Mb/s
2025-12-12 15:39:30,1.81 Mb/s
2025-12-12 15:39:45,1.83 Mb/s
2025-12-12 15:40:00,1.75 Mb/s
2025-12-12 15:40:15,1.87 Mb/s
2025-12-12 15:40:30,1.68 Mb/s
2025-12-12 15:40:45,1.73 Mb/s
2025-12-12 15:41:00,1.81 Mb/s
2025-12-12 15:41:15,1.72 Mb/s
2025-12-12 15:41:30,1.78 Mb/s
2025-12-12 15:41:45,1.78 Mb/s
2025-12-12 15:42:00,1.75 Mb/s
2025-12-12 15:42:15,1.76 Mb/s
2025-12-12 15:42:30,1.60 Mb/s
2025-12-12 15:42:45,1.73 Mb/s
2025-12-12 15:43:00,1.73 Mb/s
2025-12-12 15:43:15,1.79 Mb/s
2025-12-12 15:43:30,1.88 Mb/s
2025-12-12 15:43:45,1.71 Mb/s
2025-12-12 15:44:00,1.75 Mb/s
2025-12-12 15:44:15,1.77 Mb/s
2025-12-12 15:44:30,1.55 Mb/s
2025-12-12 15:44:45,1.75 Mb/s
2025-12-12 15:45:00,1.70 Mb/s
2025-12-12 15:45:15,2.00 Mb/s
2025-12-12 15:45:30,1.79 Mb/s
2025-12-12 15:45:45,1.62 Mb/s
2025-12-12 15:46:00,1.85 Mb/s
2025-12-12 15:46:15,1.46 Mb/s
2025-12-12 15:46:30,1.26 Mb/s
2025-12-12 15:46:45,618 kb/s
2025-12-12 15:47:00,462 kb/s
2025-12-12 15:47:15,0 kb/s
2025-12-12 15:47:30,0 kb/s
2025-12-12 15:47:45,0 kb/s
2025-12-12 15:48:00,0 kb/s
