"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 15:37:45,582 MiB
2025-12-12 15:38:00,582 MiB
2025-12-12 15:38:15,585 MiB
2025-12-12 15:38:30,582 MiB
2025-12-12 15:38:45,585 MiB
2025-12-12 15:39:00,706 MiB
2025-12-12 15:39:15,753 MiB
2025-12-12 15:39:30,754 MiB
2025-12-12 15:39:45,755 MiB
2025-12-12 15:40:00,755 MiB
2025-12-12 15:40:15,755 MiB
2025-12-12 15:40:30,755 MiB
2025-12-12 15:40:45,755 MiB
2025-12-12 15:41:00,755 MiB
2025-12-12 15:41:15,755 MiB
2025-12-12 15:41:30,755 MiB
2025-12-12 15:41:45,755 MiB
2025-12-12 15:42:00,755 MiB
2025-12-12 15:42:15,755 MiB
2025-12-12 15:42:30,755 MiB
2025-12-12 15:42:45,893 MiB
2025-12-12 15:43:00,1017 MiB
2025-12-12 15:43:15,1017 MiB
2025-12-12 15:43:30,1017 MiB
2025-12-12 15:43:45,1016 MiB
2025-12-12 15:44:00,1017 MiB
2025-12-12 15:44:15,1017 MiB
2025-12-12 15:44:30,1017 MiB
2025-12-12 15:44:45,1017 MiB
2025-12-12 15:45:00,1016 MiB
2025-12-12 15:45:15,1016 MiB
2025-12-12 15:45:30,1017 MiB
2025-12-12 15:45:45,1016 MiB
2025-12-12 15:46:00,1017 MiB
2025-12-12 15:46:15,1018 MiB
2025-12-12 15:46:30,1019 MiB
2025-12-12 15:46:45,1022 MiB
2025-12-12 15:47:00,1021 MiB
2025-12-12 15:47:15,1021 MiB
2025-12-12 15:47:30,1021 MiB
2025-12-12 15:47:45,1020 MiB
2025-12-12 15:48:00,1019 MiB
