"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 15:37:45,0.00347
2025-12-12 15:38:00,0.0114
2025-12-12 15:38:15,0.0838
2025-12-12 15:38:30,0.0869
2025-12-12 15:38:45,0.237
2025-12-12 15:39:00,0.263
2025-12-12 15:39:15,0.329
2025-12-12 15:39:30,0.348
2025-12-12 15:39:45,0.369
2025-12-12 15:40:00,0.373
2025-12-12 15:40:15,0.364
2025-12-12 15:40:30,0.318
2025-12-12 15:40:45,0.345
2025-12-12 15:41:00,0.357
2025-12-12 15:41:15,0.370
2025-12-12 15:41:30,0.374
2025-12-12 15:41:45,0.370
2025-12-12 15:42:00,0.359
2025-12-12 15:42:15,0.360
2025-12-12 15:42:30,0.354
2025-12-12 15:42:45,0.342
2025-12-12 15:43:00,0.333
2025-12-12 15:43:15,0.318
2025-12-12 15:43:30,0.318
2025-12-12 15:43:45,0.316
2025-12-12 15:44:00,0.317
2025-12-12 15:44:15,0.314
2025-12-12 15:44:30,0.312
2025-12-12 15:44:45,0.319
2025-12-12 15:45:00,0.334
2025-12-12 15:45:15,0.335
2025-12-12 15:45:30,0.337
2025-12-12 15:45:45,0.333
2025-12-12 15:46:00,0.358
2025-12-12 15:46:15,0.351
2025-12-12 15:46:30,0.322
2025-12-12 15:46:45,0.298
2025-12-12 15:47:00,0.242
2025-12-12 15:47:15,0.153
2025-12-12 15:47:30,0.0720
2025-12-12 15:47:45,0.0218
2025-12-12 15:48:00,0.0218
