"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 15:37:45,0.00744
2025-12-12 15:38:00,0.00775
2025-12-12 15:38:15,0.0845
2025-12-12 15:38:30,0.283
2025-12-12 15:38:45,0.535
2025-12-12 15:39:00,0.583
2025-12-12 15:39:15,0.635
2025-12-12 15:39:30,0.653
2025-12-12 15:39:45,0.666
2025-12-12 15:40:00,0.690
2025-12-12 15:40:15,0.671
2025-12-12 15:40:30,0.661
2025-12-12 15:40:45,0.633
2025-12-12 15:41:00,0.697
2025-12-12 15:41:15,0.733
2025-12-12 15:41:30,0.594
2025-12-12 15:41:45,0.686
2025-12-12 15:42:00,0.559
2025-12-12 15:42:15,0.664
2025-12-12 15:42:30,0.674
2025-12-12 15:42:45,0.657
2025-12-12 15:43:00,0.647
2025-12-12 15:43:15,0.639
2025-12-12 15:43:30,0.639
2025-12-12 15:43:45,0.660
2025-12-12 15:44:00,0.650
2025-12-12 15:44:15,0.644
2025-12-12 15:44:30,0.626
2025-12-12 15:44:45,0.633
2025-12-12 15:45:00,0.636
2025-12-12 15:45:15,0.637
2025-12-12 15:45:30,0.639
2025-12-12 15:45:45,0.652
2025-12-12 15:46:00,0.648
2025-12-12 15:46:15,0.648
2025-12-12 15:46:30,0.622
2025-12-12 15:46:45,0.575
2025-12-12 15:47:00,0.444
2025-12-12 15:47:15,0.267
2025-12-12 15:47:30,0.101
2025-12-12 15:47:45,0.0325
2025-12-12 15:48:00,0.0250
