"Time","stress level"
2025-12-12 15:37:45,0.00200
2025-12-12 15:38:00,0.00909
2025-12-12 15:38:15,0.127
2025-12-12 15:38:30,0.134
2025-12-12 15:38:45,0.169
2025-12-12 15:39:00,0.168
2025-12-12 15:39:15,0.150
2025-12-12 15:39:30,0.171
2025-12-12 15:39:45,0.165
2025-12-12 15:40:00,0.178
2025-12-12 15:40:15,0.149
2025-12-12 15:40:30,0.153
2025-12-12 15:40:45,0.177
2025-12-12 15:41:00,0.199
2025-12-12 15:41:15,0.171
2025-12-12 15:41:30,0.171
2025-12-12 15:41:45,0.170
2025-12-12 15:42:00,0.192
2025-12-12 15:42:15,0.189
2025-12-12 15:42:30,0.184
2025-12-12 15:42:45,0.201
2025-12-12 15:43:00,0.192
2025-12-12 15:43:15,0.155
2025-12-12 15:43:30,0.169
2025-12-12 15:43:45,0.161
2025-12-12 15:44:00,0.167
2025-12-12 15:44:15,0.157
2025-12-12 15:44:30,0.159
2025-12-12 15:44:45,0.152
2025-12-12 15:45:00,0.157
2025-12-12 15:45:15,0.159
2025-12-12 15:45:30,0.157
2025-12-12 15:45:45,0.162
2025-12-12 15:46:00,0.159
2025-12-12 15:46:15,0.160
2025-12-12 15:46:30,0.151
2025-12-12 15:46:45,0.143
2025-12-12 15:47:00,0.0911
2025-12-12 15:47:15,0.0107
2025-12-12 15:47:30,0.00841
2025-12-12 15:47:45,0.00833
2025-12-12 15:48:00,0.00923
