"Time","Value"
2025-12-12 13:08:30,622 MiB
2025-12-12 13:08:45,622 MiB
2025-12-12 13:09:00,622 MiB
2025-12-12 13:09:15,622 MiB
2025-12-12 13:09:30,628 MiB
2025-12-12 13:09:45,628 MiB
2025-12-12 13:10:00,628 MiB
2025-12-12 13:10:15,651 MiB
2025-12-12 13:10:30,714 MiB
2025-12-12 13:10:45,714 MiB
2025-12-12 13:11:00,714 MiB
2025-12-12 13:11:15,714 MiB
2025-12-12 13:11:30,714 MiB
2025-12-12 13:11:45,714 MiB
2025-12-12 13:12:00,766 MiB
2025-12-12 13:12:15,827 MiB
2025-12-12 13:12:30,827 MiB
2025-12-12 13:12:45,827 MiB
2025-12-12 13:13:00,826 MiB
2025-12-12 13:13:15,826 MiB
2025-12-12 13:13:30,827 MiB
2025-12-12 13:13:45,827 MiB
2025-12-12 13:14:00,826 MiB
2025-12-12 13:14:15,826 MiB
2025-12-12 13:14:30,826 MiB
2025-12-12 13:14:45,826 MiB
2025-12-12 13:15:00,826 MiB
2025-12-12 13:15:15,826 MiB
2025-12-12 13:15:30,826 MiB
2025-12-12 13:15:45,827 MiB
2025-12-12 13:16:00,871 MiB
2025-12-12 13:16:15,984 MiB
2025-12-12 13:16:30,1005 MiB
2025-12-12 13:16:45,1005 MiB
2025-12-12 13:17:00,1005 MiB
2025-12-12 13:17:15,1005 MiB
2025-12-12 13:17:30,1005 MiB
2025-12-12 13:17:45,1004 MiB
2025-12-12 13:18:00,1004 MiB
2025-12-12 13:18:15,1004 MiB
2025-12-12 13:18:30,1004 MiB
2025-12-12 13:18:45,1003 MiB
2025-12-12 13:19:00,1002 MiB
2025-12-12 13:19:15,1002 MiB
