"Time","sum(rate(container_cpu_usage_seconds_total{namespace=""default"", container=""jitsi-meet"", pod=~"".*-jvb-.*""}[1m0s]))"
2025-12-12 12:52:00,0.00135
2025-12-12 12:52:15,0.00167
2025-12-12 12:52:30,0.00162
2025-12-12 12:52:45,0.00151
2025-12-12 12:53:00,0.0413
2025-12-12 12:53:15,0.0551
2025-12-12 12:53:30,0.0663
2025-12-12 12:53:45,0.0384
2025-12-12 12:54:00,0.0380
2025-12-12 12:54:15,0.0374
2025-12-12 12:54:30,0.0371
2025-12-12 12:54:45,0.0370
2025-12-12 12:55:00,0.0373
2025-12-12 12:55:15,0.0367
2025-12-12 12:55:30,0.0369
2025-12-12 12:55:45,0.0366
2025-12-12 12:56:00,0.0370
2025-12-12 12:56:15,0.0367
2025-12-12 12:56:30,0.0386
2025-12-12 12:56:45,0.0388
2025-12-12 12:57:00,0.0381
2025-12-12 12:57:15,0.0367
2025-12-12 12:57:30,0.0369
2025-12-12 12:57:45,0.0369
2025-12-12 12:58:00,0.0367
2025-12-12 12:58:15,0.0364
2025-12-12 12:58:30,0.0364
2025-12-12 12:58:45,0.0367
2025-12-12 12:59:00,0.0367
2025-12-12 12:59:15,0.0304
2025-12-12 12:59:30,0.0367
2025-12-12 12:59:45,0.0369
2025-12-12 13:00:00,0.0369
2025-12-12 13:00:15,0.0359
2025-12-12 13:00:30,0.0338
2025-12-12 13:00:45,0.0302
2025-12-12 13:01:00,0.0269
2025-12-12 13:01:15,0.0248
2025-12-12 13:01:30,0.0181
2025-12-12 13:01:45,0.0124
2025-12-12 13:02:00,0.00621
2025-12-12 13:02:15,0.00567
2025-12-12 13:02:30,0.00456
2025-12-12 13:02:45,0.00271
2025-12-12 13:03:00,0.00153
