"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 12:52:00,0 kb/s
2025-12-12 12:52:15,0 kb/s
2025-12-12 12:52:30,0 kb/s
2025-12-12 12:52:45,0 kb/s
2025-12-12 12:53:00,1.25 Mb/s
2025-12-12 12:53:15,1.18 Mb/s
2025-12-12 12:53:30,1.26 Mb/s
2025-12-12 12:53:45,1.27 Mb/s
2025-12-12 12:54:00,1.26 Mb/s
2025-12-12 12:54:15,1.23 Mb/s
2025-12-12 12:54:30,1.27 Mb/s
2025-12-12 12:54:45,1.22 Mb/s
2025-12-12 12:55:00,1.24 Mb/s
2025-12-12 12:55:15,1.26 Mb/s
2025-12-12 12:55:30,1.24 Mb/s
2025-12-12 12:55:45,1.28 Mb/s
2025-12-12 12:56:00,1.24 Mb/s
2025-12-12 12:56:15,1.21 Mb/s
2025-12-12 12:56:30,1.22 Mb/s
2025-12-12 12:56:45,1.28 Mb/s
2025-12-12 12:57:00,1.21 Mb/s
2025-12-12 12:57:15,1.26 Mb/s
2025-12-12 12:57:30,1.23 Mb/s
2025-12-12 12:57:45,1.21 Mb/s
2025-12-12 12:58:00,1.22 Mb/s
2025-12-12 12:58:15,1.25 Mb/s
2025-12-12 12:58:30,1.25 Mb/s
2025-12-12 12:58:45,1.25 Mb/s
2025-12-12 12:59:00,1.23 Mb/s
2025-12-12 12:59:15,1.24 Mb/s
2025-12-12 12:59:30,1.24 Mb/s
2025-12-12 12:59:45,1.25 Mb/s
2025-12-12 13:00:00,1.28 Mb/s
2025-12-12 13:00:15,855 kb/s
2025-12-12 13:00:30,518 kb/s
2025-12-12 13:00:45,415 kb/s
2025-12-12 13:01:00,374 kb/s
2025-12-12 13:01:15,0 kb/s
2025-12-12 13:01:30,0 kb/s
2025-12-12 13:01:45,0 kb/s
2025-12-12 13:02:00,0 kb/s
2025-12-12 13:02:15,0 kb/s
2025-12-12 13:02:30,0 kb/s
2025-12-12 13:02:45,0 kb/s
2025-12-12 13:03:00,0 kb/s
