"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 12:52:00,0 ms
2025-12-12 12:52:15,0 ms
2025-12-12 12:52:30,0 ms
2025-12-12 12:52:45,0 ms
2025-12-12 12:53:00,61.1 ms
2025-12-12 12:53:15,61.1 ms
2025-12-12 12:53:30,61.2 ms
2025-12-12 12:53:45,60.4 ms
2025-12-12 12:54:00,64.1 ms
2025-12-12 12:54:15,61.1 ms
2025-12-12 12:54:30,61.2 ms
2025-12-12 12:54:45,61.3 ms
2025-12-12 12:55:00,63.6 ms
2025-12-12 12:55:15,61.0 ms
2025-12-12 12:55:30,61.5 ms
2025-12-12 12:55:45,60.2 ms
2025-12-12 12:56:00,61.5 ms
2025-12-12 12:56:15,62.2 ms
2025-12-12 12:56:30,61.9 ms
2025-12-12 12:56:45,60.9 ms
2025-12-12 12:57:00,61.7 ms
2025-12-12 12:57:15,60.6 ms
2025-12-12 12:57:30,61.5 ms
2025-12-12 12:57:45,62.9 ms
2025-12-12 12:58:00,61.5 ms
2025-12-12 12:58:15,61.8 ms
2025-12-12 12:58:30,62.4 ms
2025-12-12 12:58:45,61.7 ms
2025-12-12 12:59:00,62.4 ms
2025-12-12 12:59:15,62.0 ms
2025-12-12 12:59:30,62.0 ms
2025-12-12 12:59:45,61.0 ms
2025-12-12 13:00:00,64.5 ms
2025-12-12 13:00:15,160 ms
2025-12-12 13:00:30,66.8 ms
2025-12-12 13:00:45,64.9 ms
2025-12-12 13:01:00,63.9 ms
2025-12-12 13:01:15,66.8 ms
2025-12-12 13:01:30,66.8 ms
2025-12-12 13:01:45,66.8 ms
2025-12-12 13:02:00,66.8 ms
2025-12-12 13:02:15,0 ms
2025-12-12 13:02:30,0 ms
2025-12-12 13:02:45,0 ms
2025-12-12 13:03:00,0 ms
