"Time","stress level"
2025-12-12 15:22:45,0.00138
2025-12-12 15:23:00,0.00135
2025-12-12 15:23:15,0.144
2025-12-12 15:23:30,0.142
2025-12-12 15:23:45,0.122
2025-12-12 15:24:00,0.111
2025-12-12 15:24:15,0.131
2025-12-12 15:24:30,0.118
2025-12-12 15:24:45,0.105
2025-12-12 15:25:00,0.0981
2025-12-12 15:25:15,0.0885
2025-12-12 15:25:30,0.0930
2025-12-12 15:25:45,0.0930
2025-12-12 15:26:00,0.0986
2025-12-12 15:26:15,0.102
2025-12-12 15:26:30,0.0863
2025-12-12 15:26:45,0.104
2025-12-12 15:27:00,0.101
2025-12-12 15:27:15,0.0821
2025-12-12 15:27:30,0.0846
2025-12-12 15:27:45,0.0837
2025-12-12 15:28:00,0.0868
2025-12-12 15:28:15,0.0818
2025-12-12 15:28:30,0.0762
2025-12-12 15:28:45,0.0815
2025-12-12 15:29:00,0.0962
2025-12-12 15:29:15,0.0931
2025-12-12 15:29:30,0.0945
2025-12-12 15:29:45,0.111
2025-12-12 15:30:00,0.102
2025-12-12 15:30:15,0.0937
2025-12-12 15:30:30,0.0887
2025-12-12 15:30:45,0.111
2025-12-12 15:31:00,0.103
2025-12-12 15:31:15,0.104
2025-12-12 15:31:30,0.0651
2025-12-12 15:31:45,0.0102
2025-12-12 15:32:00,0.00849
2025-12-12 15:32:15,0.00839
2025-12-12 15:32:30,0.0111
2025-12-12 15:32:45,0.00148
