"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 15:22:45,0.00700
2025-12-12 15:23:00,0.00617
2025-12-12 15:23:15,0.0897
2025-12-12 15:23:30,0.385
2025-12-12 15:23:45,0.390
2025-12-12 15:24:00,0.422
2025-12-12 15:24:15,0.318
2025-12-12 15:24:30,0.386
2025-12-12 15:24:45,0.374
2025-12-12 15:25:00,0.286
2025-12-12 15:25:15,0.340
2025-12-12 15:25:30,0.330
2025-12-12 15:25:45,0.321
2025-12-12 15:26:00,0.335
2025-12-12 15:26:15,0.345
2025-12-12 15:26:30,0.348
2025-12-12 15:26:45,0.354
2025-12-12 15:27:00,0.357
2025-12-12 15:27:15,0.344
2025-12-12 15:27:30,0.324
2025-12-12 15:27:45,0.299
2025-12-12 15:28:00,0.302
2025-12-12 15:28:15,0.298
2025-12-12 15:28:30,0.300
2025-12-12 15:28:45,0.294
2025-12-12 15:29:00,0.300
2025-12-12 15:29:15,0.310
2025-12-12 15:29:30,0.313
2025-12-12 15:29:45,0.322
2025-12-12 15:30:00,0.332
2025-12-12 15:30:15,0.334
2025-12-12 15:30:30,0.327
2025-12-12 15:30:45,0.276
2025-12-12 15:31:00,0.324
2025-12-12 15:31:15,0.351
2025-12-12 15:31:30,0.310
2025-12-12 15:31:45,0.238
2025-12-12 15:32:00,0.103
2025-12-12 15:32:15,0.0383
2025-12-12 15:32:30,0.0343
2025-12-12 15:32:45,0.0266
