"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:22:45,0 ms
2025-12-12 15:23:00,0 ms
2025-12-12 15:23:15,68.6 ms
2025-12-12 15:23:30,89.9 ms
2025-12-12 15:23:45,74.7 ms
2025-12-12 15:24:00,86.8 ms
2025-12-12 15:24:15,71.7 ms
2025-12-12 15:24:30,80.9 ms
2025-12-12 15:24:45,144 ms
2025-12-12 15:25:00,79.9 ms
2025-12-12 15:25:15,72.2 ms
2025-12-12 15:25:30,80.0 ms
2025-12-12 15:25:45,73.8 ms
2025-12-12 15:26:00,74.4 ms
2025-12-12 15:26:15,82.5 ms
2025-12-12 15:26:30,76.2 ms
2025-12-12 15:26:45,72.7 ms
2025-12-12 15:27:00,76.8 ms
2025-12-12 15:27:15,80.6 ms
2025-12-12 15:27:30,80.4 ms
2025-12-12 15:27:45,73.1 ms
2025-12-12 15:28:00,84.8 ms
2025-12-12 15:28:15,83.1 ms
2025-12-12 15:28:30,74.5 ms
2025-12-12 15:28:45,70.1 ms
2025-12-12 15:29:00,72.2 ms
2025-12-12 15:29:15,72.9 ms
2025-12-12 15:29:30,72.7 ms
2025-12-12 15:29:45,69.0 ms
2025-12-12 15:30:00,77.2 ms
2025-12-12 15:30:15,79.1 ms
2025-12-12 15:30:30,69.9 ms
2025-12-12 15:30:45,71.5 ms
2025-12-12 15:31:00,78.4 ms
2025-12-12 15:31:15,71.6 ms
2025-12-12 15:31:30,68.1 ms
2025-12-12 15:31:45,67.9 ms
2025-12-12 15:32:00,67.9 ms
2025-12-12 15:32:15,67.9 ms
2025-12-12 15:32:30,67.9 ms
2025-12-12 15:32:45,0 ms
