"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:22:45,0 kb/s
2025-12-12 15:23:00,0 kb/s
2025-12-12 15:23:15,612 kb/s
2025-12-12 15:23:30,636 kb/s
2025-12-12 15:23:45,590 kb/s
2025-12-12 15:24:00,584 kb/s
2025-12-12 15:24:15,551 kb/s
2025-12-12 15:24:30,557 kb/s
2025-12-12 15:24:45,582 kb/s
2025-12-12 15:25:00,605 kb/s
2025-12-12 15:25:15,726 kb/s
2025-12-12 15:25:30,653 kb/s
2025-12-12 15:25:45,608 kb/s
2025-12-12 15:26:00,625 kb/s
2025-12-12 15:26:15,603 kb/s
2025-12-12 15:26:30,603 kb/s
2025-12-12 15:26:45,586 kb/s
2025-12-12 15:27:00,477 kb/s
2025-12-12 15:27:15,540 kb/s
2025-12-12 15:27:30,495 kb/s
2025-12-12 15:27:45,558 kb/s
2025-12-12 15:28:00,556 kb/s
2025-12-12 15:28:15,578 kb/s
2025-12-12 15:28:30,593 kb/s
2025-12-12 15:28:45,569 kb/s
2025-12-12 15:29:00,576 kb/s
2025-12-12 15:29:15,505 kb/s
2025-12-12 15:29:30,590 kb/s
2025-12-12 15:29:45,550 kb/s
2025-12-12 15:30:00,553 kb/s
2025-12-12 15:30:15,760 kb/s
2025-12-12 15:30:30,652 kb/s
2025-12-12 15:30:45,586 kb/s
2025-12-12 15:31:00,614 kb/s
2025-12-12 15:31:15,420 kb/s
2025-12-12 15:31:30,192 kb/s
2025-12-12 15:31:45,0 kb/s
2025-12-12 15:32:00,0 kb/s
2025-12-12 15:32:15,0 kb/s
2025-12-12 15:32:30,0 kb/s
2025-12-12 15:32:45,0 kb/s
