"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:22:45,0 kb/s
2025-12-12 15:23:00,0 kb/s
2025-12-12 15:23:15,1.47 Mb/s
2025-12-12 15:23:30,2.46 Mb/s
2025-12-12 15:23:45,2.15 Mb/s
2025-12-12 15:24:00,2.24 Mb/s
2025-12-12 15:24:15,1.87 Mb/s
2025-12-12 15:24:30,2.68 Mb/s
2025-12-12 15:24:45,2.19 Mb/s
2025-12-12 15:25:00,1.86 Mb/s
2025-12-12 15:25:15,1.34 Mb/s
2025-12-12 15:25:30,2.25 Mb/s
2025-12-12 15:25:45,2.59 Mb/s
2025-12-12 15:26:00,3.18 Mb/s
2025-12-12 15:26:15,2.90 Mb/s
2025-12-12 15:26:30,2.23 Mb/s
2025-12-12 15:26:45,3.06 Mb/s
2025-12-12 15:27:00,2.42 Mb/s
2025-12-12 15:27:15,1.91 Mb/s
2025-12-12 15:27:30,1.48 Mb/s
2025-12-12 15:27:45,2.42 Mb/s
2025-12-12 15:28:00,2.48 Mb/s
2025-12-12 15:28:15,1.59 Mb/s
2025-12-12 15:28:30,1.47 Mb/s
2025-12-12 15:28:45,1.46 Mb/s
2025-12-12 15:29:00,2.43 Mb/s
2025-12-12 15:29:15,1.94 Mb/s
2025-12-12 15:29:30,2.18 Mb/s
2025-12-12 15:29:45,3.32 Mb/s
2025-12-12 15:30:00,3.06 Mb/s
2025-12-12 15:30:15,1.17 Mb/s
2025-12-12 15:30:30,1.75 Mb/s
2025-12-12 15:30:45,4.35 Mb/s
2025-12-12 15:31:00,3.49 Mb/s
2025-12-12 15:31:15,2.52 Mb/s
2025-12-12 15:31:30,578 kb/s
2025-12-12 15:31:45,0 kb/s
2025-12-12 15:32:00,0 kb/s
2025-12-12 15:32:15,0 kb/s
2025-12-12 15:32:30,0 kb/s
2025-12-12 15:32:45,0 kb/s
