"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:22:45,0 kb/s
2025-12-12 15:23:00,0 kb/s
2025-12-12 15:23:15,1.40 Mb/s
2025-12-12 15:23:30,489 kb/s
2025-12-12 15:23:45,568 kb/s
2025-12-12 15:24:00,567 kb/s
2025-12-12 15:24:15,555 kb/s
2025-12-12 15:24:30,621 kb/s
2025-12-12 15:24:45,629 kb/s
2025-12-12 15:25:00,633 kb/s
2025-12-12 15:25:15,665 kb/s
2025-12-12 15:25:30,656 kb/s
2025-12-12 15:25:45,619 kb/s
2025-12-12 15:26:00,620 kb/s
2025-12-12 15:26:15,626 kb/s
2025-12-12 15:26:30,606 kb/s
2025-12-12 15:26:45,549 kb/s
2025-12-12 15:27:00,567 kb/s
2025-12-12 15:27:15,582 kb/s
2025-12-12 15:27:30,548 kb/s
2025-12-12 15:27:45,608 kb/s
2025-12-12 15:28:00,598 kb/s
2025-12-12 15:28:15,612 kb/s
2025-12-12 15:28:30,579 kb/s
2025-12-12 15:28:45,583 kb/s
2025-12-12 15:29:00,590 kb/s
2025-12-12 15:29:15,582 kb/s
2025-12-12 15:29:30,636 kb/s
2025-12-12 15:29:45,538 kb/s
2025-12-12 15:30:00,574 kb/s
2025-12-12 15:30:15,731 kb/s
2025-12-12 15:30:30,612 kb/s
2025-12-12 15:30:45,564 kb/s
2025-12-12 15:31:00,563 kb/s
2025-12-12 15:31:15,452 kb/s
2025-12-12 15:31:30,211 kb/s
2025-12-12 15:31:45,0 kb/s
2025-12-12 15:32:00,0 kb/s
2025-12-12 15:32:15,0 kb/s
2025-12-12 15:32:30,0 kb/s
2025-12-12 15:32:45,0 kb/s
