"Time","stress level"
2025-12-12 15:22:45,0.000542
2025-12-12 15:23:00,0.00316
2025-12-12 15:23:15,0.122
2025-12-12 15:23:30,0.0618
2025-12-12 15:23:45,0.0499
2025-12-12 15:24:00,0.0498
2025-12-12 15:24:15,0.0498
2025-12-12 15:24:30,0.0409
2025-12-12 15:24:45,0.0363
2025-12-12 15:25:00,0.0375
2025-12-12 15:25:15,0.0343
2025-12-12 15:25:30,0.0324
2025-12-12 15:25:45,0.0309
2025-12-12 15:26:00,0.0505
2025-12-12 15:26:15,0.0359
2025-12-12 15:26:30,0.0306
2025-12-12 15:26:45,0.0391
2025-12-12 15:27:00,0.0343
2025-12-12 15:27:15,0.0371
2025-12-12 15:27:30,0.0322
2025-12-12 15:27:45,0.0345
2025-12-12 15:28:00,0.0419
2025-12-12 15:28:15,0.0316
2025-12-12 15:28:30,0.0309
2025-12-12 15:28:45,0.0331
2025-12-12 15:29:00,0.0338
2025-12-12 15:29:15,0.0380
2025-12-12 15:29:30,0.0323
2025-12-12 15:29:45,0.0399
2025-12-12 15:30:00,0.0361
2025-12-12 15:30:15,0.0344
2025-12-12 15:30:30,0.0292
2025-12-12 15:30:45,0.0472
2025-12-12 15:31:00,0.0381
2025-12-12 15:31:15,0.0428
2025-12-12 15:31:30,0.0275
2025-12-12 15:31:45,0.00628
2025-12-12 15:32:00,0.00497
2025-12-12 15:32:15,0.00602
2025-12-12 15:32:30,0.00591
2025-12-12 15:32:45,0.000668
