"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:22:45,0 ms
2025-12-12 15:23:00,0 ms
2025-12-12 15:23:15,77.8 ms
2025-12-12 15:23:30,75.3 ms
2025-12-12 15:23:45,72.1 ms
2025-12-12 15:24:00,81.6 ms
2025-12-12 15:24:15,71.9 ms
2025-12-12 15:24:30,77.3 ms
2025-12-12 15:24:45,121 ms
2025-12-12 15:25:00,72.3 ms
2025-12-12 15:25:15,71.7 ms
2025-12-12 15:25:30,67.3 ms
2025-12-12 15:25:45,67.0 ms
2025-12-12 15:26:00,71.1 ms
2025-12-12 15:26:15,83.8 ms
2025-12-12 15:26:30,72.0 ms
2025-12-12 15:26:45,69.6 ms
2025-12-12 15:27:00,72.9 ms
2025-12-12 15:27:15,71.2 ms
2025-12-12 15:27:30,83.2 ms
2025-12-12 15:27:45,68.8 ms
2025-12-12 15:28:00,74.7 ms
2025-12-12 15:28:15,69.9 ms
2025-12-12 15:28:30,67.6 ms
2025-12-12 15:28:45,73.8 ms
2025-12-12 15:29:00,72.5 ms
2025-12-12 15:29:15,72.6 ms
2025-12-12 15:29:30,69.7 ms
2025-12-12 15:29:45,67.9 ms
2025-12-12 15:30:00,81.7 ms
2025-12-12 15:30:15,76.6 ms
2025-12-12 15:30:30,65.1 ms
2025-12-12 15:30:45,71.7 ms
2025-12-12 15:31:00,78.1 ms
2025-12-12 15:31:15,65.0 ms
2025-12-12 15:31:30,69.1 ms
2025-12-12 15:31:45,68.0 ms
2025-12-12 15:32:00,68.0 ms
2025-12-12 15:32:15,68.0 ms
2025-12-12 15:32:30,60.9 ms
2025-12-12 15:32:45,0 ms
